timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-05-03,186.645,187.0,182.66,183.38,182.293112807215,163224109,0.0,1.0
2025-05-06,182.354,184.2,180.42,181.71,180.633010841963,78569667,0.0,1.0
2025-05-07,183.45,184.9,181.32,182.4,181.318921234792,77305771,0.0,1.0
2025-05-08,182.85,183.07,181.45,182.74,181.656906066041,45057087,0.0,1.0
2025-05-09,182.56,184.66,182.11,184.57,183.476059716587,48982972,0.0,1.0
2025-05-10,184.9,185.09,182.13,183.05,182.213586964568,50759496,0.25,1.0
2025-05-13,185.435,187.1,184.62,186.28,185.428828078447,72044809,0.0,1.0
2025-05-14,187.51,188.3,186.29,187.43,186.573573366671,52393619,0.0,1.0
2025-05-15,187.91,190.65,187.37,189.72,188.853109636263,70399988,0.0,1.0
2025-05-16,190.47,191.095,189.6601,189.84,188.972561318512,52845230,0.0,1.0
2025-05-17,189.51,190.81,189.18,189.87,189.002424239075,41282925,0.0,1.0
2025-05-20,189.325,191.9199,189.01,191.04,190.167078141006,44361275,0.0,1.0
2025-05-21,191.09,192.73,190.9201,192.35,191.471092338895,42309401,0.0,1.0
2025-05-22,192.265,192.8231,190.27,190.9,190.027717845048,34648547,0.0,1.0
2025-05-23,190.98,191.0,186.625,186.88,186.026086489694,51005924,0.0,1.0
2025-05-24,188.82,190.58,188.0404,189.98,189.11192161447,36326975,0.0,1.0
2025-05-28,191.51,193.0,189.1,189.99,189.121875921324,52280051,0.0,1.0
2025-05-29,189.61,192.247,189.51,190.29,189.420505126947,53068016,0.0,1.0
2025-05-30,190.76,192.18,190.63,191.29,190.415935812359,49947941,0.0,1.0
2025-05-31,191.44,192.57,189.91,192.25,191.371549270354,75158277,0.0,1.0
2025-06-03,192.9,194.99,192.52,194.03,193.143415890386,50080539,0.0,1.0
2025-06-04,194.635,195.32,193.0342,194.35,193.461953709718,47471445,0.0,1.0
2025-06-05,195.4,196.9,194.87,195.87,194.975008351543,54156785,0.0,1.0
2025-06-06,195.685,196.5,194.17,194.48,193.591359698821,41181753,0.0,1.0
2025-06-07,194.65,196.94,194.14,196.89,195.990347650663,53103912,0.0,1.0
2025-06-10,196.9,197.3,192.15,193.12,192.237573966662,97262077,0.0,1.0
2025-06-11,193.65,207.16,193.63,207.15,206.203466482985,172373296,0.0,1.0
2025-06-12,207.37,220.2,206.9,213.07,212.096416140621,198134293,0.0,1.0
2025-06-13,214.74,216.75,211.6,214.24,213.261070042552,97862729,0.0,1.0
2025-06-14,213.85,215.17,211.3,212.49,211.519066343082,70122748,0.0,1.0
2025-06-17,213.37,218.95,212.72,216.67,215.679966608102,93728300,0.0,1.0
2025-06-18,217.59,218.63,213.0,214.29,213.310841576823,79943254,0.0,1.0
2025-06-20,213.93,214.24,208.85,209.68,208.721906117076,86172451,0.0,1.0
2025-06-21,210.39,211.89,207.11,207.49,206.541912916025,246421353,0.0,1.0
2025-06-24,207.72,212.7,206.59,208.14,207.188942861542,80727006,0.0,1.0
2025-06-25,209.15,211.38,208.61,209.07,208.114693398975,56713868,0.0,1.0
2025-06-26,211.5,214.86,210.64,213.25,212.275593663995,66213186,0.0,1.0
2025-06-27,214.69,215.7395,212.35,214.1,213.121709746594,49772707,0.0,1.0
2025-06-28,215.77,216.07,210.3,210.62,209.657610961362,82542718,0.0,1.0
2025-07-01,212.09,217.51,211.92,216.75,215.759601062935,60402929,0.0,1.0
2025-07-02,216.15,220.38,215.1,220.27,219.263517075583,58046178,0.0,1.0
2025-07-03,220.0,221.55,219.03,221.55,220.53766835291,37369801,0.0,1.0
2025-07-05,221.65,226.45,221.65,226.34,225.305781336031,60412408,0.0,1.0
2025-07-08,227.09,227.85,223.25,227.82,226.77901875044,59085861,0.0,1.0
2025-07-09,227.93,229.4,226.3721,228.68,227.635089139894,48169822,0.0,1.0
2025-07-10,229.3,233.08,229.25,232.98,231.915441087163,62627687,0.0,1.0
